City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Gouyave,GD,87.8,broken clouds,12.16,-61.73,Rumboat Retreat
19,Katsuura,JP,77.0,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
20,Amahai,ID,76.66,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
21,Saint-Georges,GD,87.8,broken clouds,12.06,-61.75,Siesta Hotel
22,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
25,Bethel,US,78.01,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
28,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
30,Atuona,PF,78.6,clear sky,-9.8,-139.03,Villa Enata
34,Saravena,CO,81.81,moderate rain,6.95,-71.88,Hotel sarare inn
37,Celestun,MX,86.04,overcast clouds,20.87,-90.4,Posada Lilia
39,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.08,Scoop Guest House
46,Salalah,OM,78.8,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
48,Makakilo City,US,86.0,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
51,Vaini,TO,75.2,overcast clouds,-21.2,-175.2,Keleti Beach Resort
52,Bathsheba,BB,87.8,shower rain,13.22,-59.52,Atlantis Hotel
56,Chioggia,IT,77.0,overcast clouds,45.23,12.29,Hotel Grande Italia 4S
60,Carutapera,BR,80.17,broken clouds,-1.2,-46.02,Lidera
67,Kandrian,PG,75.47,scattered clouds,-6.22,149.55,Kandrian Station
69,Nador,MA,77.0,broken clouds,35.17,-2.93,Hôtel La Giralda
75,Kapaa,US,84.99,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
78,Victoria,HK,80.01,overcast clouds,22.29,114.16,Mini Hotel Central
86,Rawlins,US,86.0,few clouds,41.79,-107.24,Holiday Inn Express Rawlins
87,Weleri,ID,76.06,broken clouds,-6.97,110.07,Wod 345
90,Cartagena Del Chaira,CO,84.81,light rain,1.33,-74.84,HOTEL LA ROCA
92,Finschhafen,PG,78.84,light rain,-6.6,147.87,Cossam Guest House
95,Mikuni,JP,77.0,few clouds,36.22,136.15,Haiya
102,Robertsport,LR,76.69,overcast clouds,6.75,-11.37,Kwepunha Retreat
106,Kudahuvadhoo,MV,82.54,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
112,Turmero,VE,87.8,scattered clouds,10.22,-67.47,Hotel Rey David
113,Kalaiya,NP,81.75,scattered clouds,27.03,85.0,Bijay house
114,Palmer,US,78.8,broken clouds,42.16,-72.33,Wedgewood Motel
116,Tezu,IN,75.13,broken clouds,27.92,96.17,Circuit House
117,Ixtapa,MX,82.4,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
119,Oeiras Do Para,BR,88.77,broken clouds,-2.0,-49.85,Araticu Soft Hotel
122,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
130,Douazeci Si Trei August,RO,75.2,broken clouds,43.92,28.58,Majestic
131,Partapur,IN,78.3,light rain,23.6,74.17,Hotel Deependra And Restaurent
133,Cornelius,US,87.01,scattered clouds,35.49,-80.86,Hampton Inn Charlotte-North/Lake Norman
134,Khetri,IN,80.37,overcast clouds,27.98,75.8,Abhay Gad Hotel 7star
137,Vanimo,PG,76.69,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
139,Keffi,NG,82.4,thunderstorm,8.85,7.87,Imam Family
146,Bom Despacho,BR,77.74,clear sky,-19.74,-45.25,Sitio Sensation
148,Erzin,TR,80.01,few clouds,36.96,36.2,Artemis Otel
150,Conde,BR,77.0,overcast clouds,-7.26,-34.91,Pousada Beija Flor
153,Mitsamiouli,KM,75.99,clear sky,-11.38,43.28,Foyer ADM
154,Malindi,KE,75.81,clear sky,-3.22,40.12,African House Resort
155,San Quintin,MX,82.31,light rain,30.48,-115.95,Old Mill Hotel
156,Jawhar,SO,75.85,broken clouds,2.78,45.5,cosoble spare parts
160,Upata,VE,86.0,light rain,8.01,-62.4,Posada Villa Nela
171,Cayenne,GF,80.6,light rain,4.93,-52.33,Hôtel Le Dronmi
177,Ponta Do Sol,PT,75.2,scattered clouds,32.67,-17.1,Hotel do Campo
178,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
179,Sao Miguel Do Araguaia,BR,89.89,clear sky,-13.28,-50.16,Hotel Executivo Palace
181,Oussouye,SN,84.2,broken clouds,12.48,-16.55,Auberge du Routard
183,Fomboni,KM,76.86,clear sky,-12.28,43.74,Auberge les abou
184,Sorong,ID,78.66,broken clouds,-0.88,131.25,The Waigo Hotel
185,Cabo San Lucas,MX,75.99,heavy intensity rain,22.89,-109.91,Hotel Tesoro Los Cabos
190,Lorengau,PG,82.47,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
199,Hami,CN,80.94,overcast clouds,42.8,93.45,Laoyutang Resort
200,Labuhan,ID,75.74,overcast clouds,-6.88,112.21,bador sepret
201,Santa Rosa,PH,77.0,overcast clouds,14.31,121.11,Amethyst Econotel
208,Rancho Palos Verdes,US,88.0,clear sky,33.74,-118.39,Terranea Resort
213,Sur,OM,86.13,scattered clouds,22.57,59.53,Sur Plaza Hotel
216,Porto Novo,BJ,75.2,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
220,Mantua,IT,77.0,scattered clouds,45.17,10.78,Hotel la Favorita
221,Long Branch,US,78.8,light rain,40.3,-73.99,Ocean Place Resort & Spa
225,Dingle,PH,75.16,moderate rain,11.0,122.67,Camp Pasica
226,Pedasi,PA,79.88,light rain,7.53,-80.03,Selina Pedasi
