City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mareeba,AU,-17.0,145.43,89.01,27,43,5.01,scattered clouds
1,Bilibino,RU,68.05,166.44,52.9,52,83,10.22,broken clouds
2,Bethel,US,41.37,-73.41,62.01,87,1,3.91,clear sky
3,Pangnirtung,CA,66.15,-65.71,58.77,53,100,6.71,overcast clouds
4,Hobart,AU,-42.88,147.33,57.2,50,75,12.75,broken clouds
5,Mataura,NZ,-46.19,168.86,55.0,83,82,8.99,broken clouds
6,Qaanaaq,GL,77.48,-69.36,43.56,77,100,4.65,overcast clouds
7,Mahibadhoo,MV,3.78,72.97,82.58,67,64,6.2,broken clouds
8,Hithadhoo,MV,-0.6,73.08,84.43,71,36,8.7,scattered clouds
9,Tuktoyaktuk,CA,69.45,-133.04,59.0,72,20,2.24,few clouds
10,Coihaique,CL,-45.58,-72.07,26.6,86,0,3.36,clear sky
11,Gat,IL,31.61,34.76,77.0,91,18,4.0,few clouds
12,Barrow,US,71.29,-156.79,46.4,87,40,11.41,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,30.2,92,40,6.93,scattered clouds
14,Busselton,AU,-33.65,115.33,62.01,47,16,3.96,few clouds
15,Moissala,TD,8.34,17.77,70.72,97,100,3.49,overcast clouds
16,Sitka,US,57.05,-135.33,55.4,93,90,2.95,moderate rain
17,Taicheng,CN,38.73,113.23,66.31,69,100,4.09,overcast clouds
18,Khatanga,RU,71.97,102.5,56.44,52,1,16.6,clear sky
19,Bredasdorp,ZA,-34.53,20.04,44.6,81,98,5.82,overcast clouds
20,Port Elizabeth,ZA,-33.92,25.57,48.2,87,40,17.22,scattered clouds
21,Kodiak,US,57.79,-152.41,59.0,77,40,3.36,scattered clouds
22,Chuy,UY,-33.7,-53.46,49.69,87,0,9.13,clear sky
23,Paso De Carrasco,UY,-34.86,-56.05,50.0,71,20,12.75,few clouds
24,Albany,US,42.6,-73.97,60.01,69,0,4.68,clear sky
25,Poum,NC,-20.23,164.02,69.22,69,0,2.48,clear sky
26,New Norfolk,AU,-42.78,147.06,55.0,74,44,1.99,light rain
27,Rocha,UY,-34.48,-54.33,45.93,90,0,7.47,clear sky
28,Jamestown,US,42.1,-79.24,63.0,82,75,4.7,broken clouds
29,Saldanha,ZA,-33.01,17.94,39.2,86,40,2.24,scattered clouds
30,Souillac,MU,-20.52,57.52,73.4,69,40,13.87,scattered clouds
31,Tura,IN,25.52,90.22,81.95,78,30,5.95,light rain
32,Tazovskiy,RU,67.47,78.7,61.07,67,11,11.95,few clouds
33,Airai,TL,-8.93,125.41,77.7,33,7,4.76,clear sky
34,Bathsheba,BB,13.22,-59.52,82.4,78,40,18.34,scattered clouds
35,Pevek,RU,69.7,170.31,44.67,68,75,11.7,broken clouds
36,Sivaki,RU,52.63,126.75,64.04,41,0,12.06,clear sky
37,Umea,SE,63.83,20.26,61.0,93,90,3.36,overcast clouds
38,Lagoa,PT,39.05,-27.98,70.12,77,42,18.63,scattered clouds
39,Kluang,MY,2.03,103.33,86.0,74,40,6.93,scattered clouds
40,Nanortalik,GL,60.14,-45.24,46.8,71,0,1.79,clear sky
41,Cidreira,BR,-30.18,-50.21,61.56,94,48,7.52,light rain
42,Tasiilaq,GL,65.61,-37.64,41.0,81,82,5.08,broken clouds
43,Vaini,TO,-21.2,-175.2,75.2,88,90,12.75,moderate rain
44,Thompson,CA,55.74,-97.86,60.8,82,90,3.36,light rain
45,Punta Arenas,CL,-53.15,-70.92,35.6,59,60,16.11,broken clouds
46,Bitung,ID,1.45,125.18,89.6,49,20,6.93,few clouds
47,Saskylakh,RU,71.92,114.08,48.06,59,99,9.24,overcast clouds
48,Norman Wells,CA,65.28,-126.83,57.2,82,75,4.7,broken clouds
49,Tignere,CM,7.37,12.65,64.69,100,100,2.19,moderate rain
50,Kitami,JP,43.8,143.89,91.4,46,20,5.82,few clouds
51,Ilulissat,GL,69.22,-51.1,44.6,57,99,3.36,overcast clouds
52,Pisco,PE,-13.7,-76.22,59.0,82,40,2.24,scattered clouds
53,Kargalinskaya,RU,43.74,46.48,73.0,59,0,7.43,clear sky
54,Mao,ES,39.89,4.27,71.6,88,7,5.82,clear sky
55,Camocim,BR,-2.9,-40.84,76.87,75,47,17.29,scattered clouds
56,Hermanus,ZA,-34.42,19.23,46.0,75,70,1.01,broken clouds
57,Virginia Beach,US,36.85,-75.98,75.99,88,75,7.67,broken clouds
58,Margate,GB,51.38,1.39,66.99,96,75,1.99,broken clouds
59,Taoudenni,ML,22.68,-3.98,94.73,34,0,1.66,clear sky
60,Atuona,PF,-9.8,-139.03,79.02,73,4,21.23,clear sky
61,Jalu,LY,29.03,21.55,76.06,51,0,8.39,clear sky
62,Khandbari,NP,27.37,87.2,81.09,69,64,1.25,light rain
63,Bhuj,IN,23.27,69.67,85.89,74,82,10.71,broken clouds
64,Praia Da Vitoria,PT,38.73,-27.07,69.8,77,20,18.57,few clouds
65,Lichinga,MZ,-13.31,35.24,59.0,72,40,3.36,scattered clouds
66,Ambon,ID,-3.7,128.18,86.0,62,20,8.05,few clouds
67,Bollnas,SE,61.35,16.39,60.75,70,26,2.64,scattered clouds
68,Georgetown,MY,5.41,100.34,87.8,74,20,2.24,few clouds
69,Tocopilla,CL,-22.09,-70.2,53.89,68,11,8.7,few clouds
70,Strezhevoy,RU,60.73,77.59,59.0,87,75,8.95,broken clouds
71,Kantunilkin,MX,21.09,-87.45,78.01,100,20,0.92,few clouds
72,Broome,US,42.25,-75.83,62.6,67,1,3.36,clear sky
73,Aloleng,PH,16.13,119.78,85.06,72,16,5.37,light rain
74,Veraval,IN,20.9,70.37,83.12,83,100,20.58,moderate rain
75,Saint-Martin-De-Crau,FR,43.64,4.81,66.2,77,76,2.24,broken clouds
76,Hasaki,JP,35.73,140.83,93.0,59,75,8.05,broken clouds
77,Naryan-Mar,RU,67.67,53.09,53.78,90,100,8.93,overcast clouds
78,Kalmunai,LK,7.42,81.82,85.69,58,87,6.38,overcast clouds
79,Port Alfred,ZA,-33.59,26.89,53.2,72,68,24.96,light rain
80,Bowen,AU,-20.02,148.23,81.0,54,0,18.34,clear sky
81,Iqaluit,CA,63.75,-68.51,42.01,93,90,17.22,overcast clouds
82,Summerville,US,33.02,-80.18,75.2,94,40,3.49,scattered clouds
83,Hohhot,CN,40.81,111.65,73.4,56,20,4.47,few clouds
84,Kirkenes,NO,69.73,30.05,50.0,100,75,12.75,broken clouds
85,Puerto Ayora,EC,-0.74,-90.35,66.99,94,77,8.01,broken clouds
86,Gornopravdinsk,RU,60.05,69.9,58.96,83,100,3.78,overcast clouds
87,San Jeronimo,PE,-11.95,-75.28,50.88,64,29,2.37,scattered clouds
88,Oum Hadjer,TD,13.3,19.7,77.99,77,61,6.91,broken clouds
89,Tiksi,RU,71.69,128.87,40.21,86,100,11.95,overcast clouds
90,Rikitea,PF,-23.12,-134.97,71.74,81,56,9.1,broken clouds
91,Canton,CN,23.12,113.25,84.0,74,90,20.13,overcast clouds
92,Palmer,US,42.16,-72.33,62.01,87,1,2.28,clear sky
93,Saint-Philippe,RE,-21.36,55.77,71.6,56,43,2.24,scattered clouds
94,Nikolskoye,RU,59.7,30.79,57.0,81,0,6.71,clear sky
95,Chokurdakh,RU,70.63,147.92,36.66,86,100,11.18,overcast clouds
96,Casper,US,42.87,-106.31,75.99,25,1,8.05,clear sky
97,Husavik,IS,66.04,-17.34,48.2,81,90,6.93,overcast clouds
98,Makakilo City,US,21.35,-158.09,86.0,54,20,6.93,few clouds
99,Belyy Yar,RU,53.6,91.39,60.8,93,75,2.24,light intensity shower rain
100,Miles City,US,46.41,-105.84,82.4,24,1,10.29,clear sky
101,Victoria,HK,22.29,114.16,84.99,78,40,12.75,light intensity shower rain
102,Cherskiy,RU,68.75,161.3,48.47,74,100,7.85,overcast clouds
