City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2020-08-17 04:45:41,22.89,-109.91,86.0,68,0,1.99
1,Paamiut,GL,2020-08-17 04:47:48,61.99,-49.67,46.36,56,0,7.96
2,Qaanaaq,GL,2020-08-17 04:47:49,77.48,-69.36,34.21,80,29,8.21
3,Punta Arenas,CL,2020-08-17 04:47:49,-53.15,-70.92,33.8,81,90,20.8
4,Carnarvon,AU,2020-08-17 04:47:49,-24.87,113.63,66.2,59,75,10.29
5,Butaritari,KI,2020-08-17 04:47:50,3.07,172.79,81.57,59,96,0.69
6,Raudeberg,NO,2020-08-17 04:47:50,61.99,5.14,60.01,93,74,7.02
7,Bambous Virieux,MU,2020-08-17 04:44:12,-20.34,57.76,75.0,73,40,17.22
8,Guerrero Negro,MX,2020-08-17 04:46:05,27.98,-114.06,75.33,74,0,16.11
9,Rikitea,PF,2020-08-17 04:47:51,-23.12,-134.97,70.77,77,3,12.26
10,Egvekinot,RU,2020-08-17 04:47:51,66.32,-179.17,50.16,74,100,5.19
11,Tuatapere,NZ,2020-08-17 04:47:52,-46.13,167.68,46.99,80,73,4.0
12,Jamestown,US,2020-08-17 04:43:11,42.1,-79.24,64.4,93,90,4.7
13,Bluff,NZ,2020-08-17 04:47:52,-46.6,168.33,46.99,80,67,4.0
14,Hermanus,ZA,2020-08-17 04:47:53,-34.42,19.23,37.99,94,100,6.96
15,Humaita,BR,2020-08-17 04:47:53,-7.51,-63.02,83.23,41,86,1.9
16,Bredasdorp,ZA,2020-08-17 04:47:53,-34.53,20.04,39.2,86,100,4.7
17,Dicabisagan,PH,2020-08-17 04:47:53,17.08,122.42,83.17,75,100,6.96
18,Ostrovnoy,RU,2020-08-17 04:47:54,68.05,39.51,47.03,81,93,15.68
19,Tuktoyaktuk,CA,2020-08-17 04:43:36,69.45,-133.04,51.8,93,90,5.82
20,Cazones,MX,2020-08-17 04:47:54,20.72,-97.32,77.36,87,94,3.38
21,Norman Wells,CA,2020-08-17 04:45:36,65.28,-126.83,55.4,82,75,4.7
22,Puerto Escondido,MX,2020-08-17 04:47:55,15.85,-97.07,81.79,77,100,9.15
23,Kruisfontein,ZA,2020-08-17 04:47:55,-34.0,24.73,41.04,77,90,5.32
24,Salalah,OM,2020-08-17 04:47:55,17.02,54.09,75.2,100,90,4.7
25,Saint-Philippe,RE,2020-08-17 04:47:56,-21.36,55.77,73.4,46,25,5.82
26,Cape Town,ZA,2020-08-17 04:45:37,-33.93,18.42,44.6,87,97,8.05
27,Wilmington,US,2020-08-17 04:44:42,34.23,-77.94,75.2,83,90,6.93
28,Fernley,US,2020-08-17 04:47:57,39.61,-119.25,82.0,37,69,8.99
29,Asau,RO,2020-08-17 04:47:57,46.43,26.4,66.0,84,12,2.64
30,Yamoussoukro,CI,2020-08-17 04:47:58,6.82,-5.28,69.8,100,49,3.33
31,Saint-Joseph,RE,2020-08-17 04:44:03,-21.37,55.62,73.4,46,21,5.82
32,Mar Del Plata,AR,2020-08-17 04:44:44,-38.0,-57.56,43.0,75,20,6.93
33,Parichha,IN,2020-08-17 04:47:58,25.52,78.75,90.86,62,35,6.49
34,Ushuaia,AR,2020-08-17 04:43:04,-54.8,-68.3,32.0,93,75,11.41
35,Kerman,IR,2020-08-17 04:47:59,30.28,57.08,84.2,17,0,4.7
36,Hay River,CA,2020-08-17 04:47:06,60.82,-115.8,60.8,77,75,5.82
37,Albany,US,2020-08-17 04:47:59,42.6,-73.97,64.0,75,1,1.48
38,Kikuyu,KE,2020-08-17 04:45:23,-1.25,36.66,57.2,93,75,3.2
39,Faanui,PF,2020-08-17 04:48:00,-16.48,-151.75,78.08,71,17,10.74
40,Urengoy,RU,2020-08-17 04:48:00,65.97,78.37,59.56,86,98,5.75
41,Malatya,TR,2020-08-17 04:47:32,38.5,38.0,66.2,39,0,4.7
42,Busselton,AU,2020-08-17 04:48:01,-33.65,115.33,54.0,89,78,5.99
43,Coquimbo,CL,2020-08-17 04:48:01,-29.95,-71.34,46.4,87,0,2.24
44,Lokosovo,RU,2020-08-17 04:48:02,61.13,74.82,61.81,70,21,8.9
45,Saint George,US,2020-08-17 04:47:06,37.1,-113.58,100.4,12,1,5.93
46,Solnechnyy,RU,2020-08-17 04:44:42,50.72,136.63,62.83,75,86,5.55
47,Yellowknife,CA,2020-08-17 04:48:02,62.46,-114.35,54.0,81,75,2.24
48,Clyde River,CA,2020-08-17 04:48:03,70.47,-68.59,41.0,100,90,21.92
49,Vaini,TO,2020-08-17 04:48:03,-21.2,-175.2,71.6,68,40,10.29
